Job_position,Company,Location,requirements,posting_frequency,min_sal,max_sal,avg_yearly_sal,monthly_sal,job_title,jr,na,senior,State,job_openings,job_descr_len,redux,net,js,server,css,sql,angular,java,stack,testing,javascript,python,c++,ai,rest,app,react,nodejs,php,ui,database,mvc,ux,unity,html,mobile,mysql,flutter,graphic,apis,cloud,debugging,food,architecture,b2b,healthcare,security,pwas,version,typescript,ios,game,mongo,oops,restful,financial,jquery,iot,bootstrap,freelance,word,aws,git,ruby
na,ST. JOSEPH GROUP OF INSTITUTION,"Guwahati, Assam",na,1.0,120000.0,120000.0,120000.0,10000.0,na,0,1,0,Assam,1,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",testing,1.0,0.0,0.0,0.0,0.0,na,0,1,0,Karnataka,6,161,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Loanwalle.com,"New Delhi, Delhi",na,1.0,210373.0,841860.0,526116.5,43843.04166666666,na,0,1,0,Delhi,1,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Sky niche technologies,"Kochi, Kerala",java,1.0,180000.0,480000.0,330000.0,27500.0,na,0,1,0,Kerala,1,159,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Siemens Healthcare Private Limited,"Bengaluru, Karnataka",oops,1.0,0.0,0.0,0.0,0.0,na,0,1,0,Karnataka,1,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
na,GeoOpsis Software Services Private Limited,"Bengaluru, Karnataka",javascript,1.0,343340.0,1527639.0,935489.5,77957.45833333331,na,0,1,0,Karnataka,1,156,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,BRIWO Solutions Pvt Ltd,"Noida, Uttar Pradesh",na,1.0,400000.0,1000000.0,700000.0,58333.33333333334,na,0,1,0,Uttar Pradesh,1,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Postman,"Bengaluru, Karnataka",na,1.0,0.0,0.0,0.0,0.0,na,0,1,0,Karnataka,2,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Mobiloitte,"New Delhi, Delhi",restful apis app,1.0,159096.0,557628.0,358362.0,29863.5,na,0,1,0,Delhi,2,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
xamarin,Mobiloitte Technologies,"New Delhi, Delhi",na,1.0,337032.0,783180.0,560106.0,46675.5,na,0,1,0,Delhi,2,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
